iter	Passed	Remaining
401	14197	21119
402	14230	21080
403	14262	21040
404	14294	21000
405	14331	20967
406	14364	20928
407	14396	20888
408	14431	20853
409	14458	20806
410	14491	20767
411	14525	20730
412	14558	20691
413	14592	20655
414	14623	20614
415	14652	20569
416	14685	20531
417	14715	20489
418	14747	20449
419	14778	20407
420	14808	20366
421	14841	20328
422	14871	20285
423	14902	20244
424	14931	20201
425	14960	20158
426	14995	20122
427	15024	20079
428	15053	20036
429	15084	19995
430	15114	19953
431	15145	19913
432	15177	19874
433	15206	19831
434	15236	19789
435	15267	19749
436	15297	19707
437	15325	19663
438	15358	19626
439	15391	19589
440	15424	19551
441	15456	19512
442	15488	19474
443	15527	19444
444	15562	19409
445	15594	19371
446	15628	19334
447	15661	19297
448	15694	19260
449	15731	19227
450	15765	19190
451	15799	19154
452	15833	19119
453	15865	19080
454	15897	19042
455	15930	19004
456	15963	18968
457	15997	18930
458	16030	18894
459	16063	18857
460	16096	18820
461	16137	18791
462	16169	18753
463	16202	18716
464	16236	18680
465	16269	18643
466	16302	18606
467	16335	18569
468	16367	18531
469	16400	18494
470	16434	18458
471	16468	18422
472	16501	18385
473	16534	18348
474	16568	18312
475	16600	18274
476	16634	18238
477	16668	18203
478	16703	18168
479	16746	18142
480	16782	18108
481	16815	18071
482	16848	18034
483	16882	17998
484	16914	17960
485	16947	17923
486	16981	17888
487	17014	17851
488	17048	17815
489	17090	17787
490	17122	17750
491	17157	17715
492	17189	17677
493	17221	17640
494	17255	17604
495	17288	17567
496	17321	17530
497	17354	17494
498	17394	17464
499	17431	17431
500	17469	17399
501	17504	17364
502	17538	17329
503	17571	17292
504	17605	17256
505	17637	17219
506	17675	17187
507	17710	17152
508	17744	17117
509	17779	17082
510	17814	17047
511	17849	17012
512	17885	16978
513	17918	16942
514	17953	16907
515	17987	16872
516	18022	16837
517	18056	16801
518	18092	16767
519	18127	16733
520	18161	16697
521	18196	16662
522	18231	16627
523	18264	16591
524	18300	16557
525	18334	16521
526	18374	16491
527	18407	16454
528	18440	16418
529	18472	16381
530	18504	16343
531	18538	16307
532	18571	16271
533	18605	16236
534	18638	16199
535	18677	16168
536	18712	16133
537	18745	16097
538	18777	16059
539	18810	16023
540	18843	15987
541	18875	15949
542	18911	15916
543	18960	15893
544	19004	15866
545	19039	15831
546	19074	15796
547	19109	15761
548	19143	15726
549	19178	15691
550	19211	15654
551	19244	15618
552	19277	15582
553	19310	15545
554	19350	15515
555	19382	15478
556	19415	15441
557	19449	15406
558	19483	15370
559	19515	15333
560	19548	15297
561	19581	15261
562	19614	15224
563	19654	15193
564	19687	15157
565	19719	15120
566	19753	15085
567	19786	15048
568	19819	15012
569	19852	14976
570	19886	14941
571	19920	14905
572	19958	14872
573	19990	14836
574	20023	14800
575	20056	14763
576	20089	14727
577	20122	14691
578	20155	14655
579	20189	14619
580	20227	14587
581	20261	14551
582	20294	14516
583	20330	14481
584	20364	14446
585	20397	14410
586	20434	14377
587	20470	14343
588	20506	14309
589	20544	14276
590	20581	14243
591	20623	14213
592	20660	14180
593	20698	14147
594	20739	14116
595	20778	14084
596	20818	14053
597	20856	14020
598	20895	13988
599	20933	13955
600	20971	13922
601	21008	13889
602	21045	13855
603	21080	13821
604	21118	13787
605	21158	13756
606	21195	13722
607	21231	13688
608	21267	13654
609	21302	13619
610	21336	13584
611	21370	13548
612	21403	13512
613	21438	13477
614	21473	13442
615	21507	13407
616	21544	13373
617	21580	13339
618	21620	13307
619	21655	13272
620	21688	13236
621	21724	13202
622	21759	13167
623	21795	13133
624	21830	13098
625	21867	13064
626	21903	13030
627	21939	12996
628	21982	12965
629	22016	12930
630	22049	12894
631	22084	12859
632	22119	12824
633	22154	12789
634	22190	12755
635	22225	12719
636	22261	12685
637	22297	12651
638	22331	12615
639	22365	12580
640	22400	12545
641	22436	12511
642	22471	12476
643	22505	12440
644	22541	12406
645	22575	12371
646	22613	12337
647	22650	12303
648	22690	12271
649	22730	12239
650	22770	12207
651	22810	12175
652	22848	12141
653	22884	12106
654	22920	12072
655	22956	12038
656	22992	12003
657	23028	11969
658	23066	11935
659	23102	11901
660	23139	11867
661	23175	11832
662	23213	11799
663	23245	11762
664	23282	11728
665	23320	11695
666	23363	11664
667	23407	11633
668	23464	11609
669	23515	11582
670	23550	11547
671	23588	11513
672	23621	11477
673	23656	11442
674	23688	11405
675	23720	11368
676	23750	11331
677	23784	11295
678	23816	11259
679	23847	11222
680	23877	11184
681	23909	11148
682	23939	11110
683	23969	11073
684	23999	11036
685	24032	11000
686	24064	10964
687	24097	10927
688	24132	10892
689	24167	10857
690	24204	10823
691	24237	10787
692	24273	10753
693	24309	10718
694	24350	10686
695	24385	10651
696	24422	10616
697	24460	10583
698	24495	10548
699	24531	10513
700	24566	10478
701	24601	10443
702	24636	10408
703	24671	10373
704	24712	10340
705	24747	10305
706	24781	10270
707	24816	10235
708	24851	10199
709	24885	10164
710	24919	10129
711	24958	10095
712	24992	10060
713	25027	10025
714	25061	9989
715	25098	9955
716	25132	9919
717	25168	9885
718	25203	9850
719	25238	9815
720	25274	9780
721	25309	9745
722	25346	9711
723	25384	9676
724	25422	9643
725	25460	9609
726	25499	9575
727	25540	9542
728	25574	9507
729	25609	9472
730	25644	9436
731	25679	9401
732	25713	9366
733	25748	9331
734	25783	9296
735	25820	9261
736	25857	9227
737	25895	9193
738	25933	9159
739	25971	9125
740	26009	9090
741	26052	9058
742	26095	9026
743	26137	8993
744	26176	8959
745	26213	8925
746	26248	8890
747	26284	8855
748	26318	8819
749	26353	8784
750	26395	8751
751	26431	8716
752	26465	8681
753	26500	8645
754	26534	8610
755	26570	8575
756	26607	8541
757	26643	8506
758	26686	8473
759	26720	8438
760	26754	8402
761	26787	8366
762	26821	8331
763	26869	8300
764	26933	8273
765	26993	8245
766	27029	8210
767	27064	8175
768	27104	8141
769	27140	8106
770	27173	8070
771	27208	8035
772	27244	8000
773	27281	7965
774	27316	7930
775	27352	7895
776	27390	7861
777	27427	7826
778	27469	7793
779	27505	7758
780	27543	7723
781	27577	7687
782	27610	7651
783	27644	7616
784	27686	7582
785	27724	7548
786	27758	7512
787	27793	7477
788	27827	7441
789	27863	7406
790	27897	7371
791	27931	7335
792	27967	7300
793	28002	7265
794	28039	7230
795	28076	7195
796	28116	7161
797	28156	7127
798	28196	7093
799	28234	7058
800	28276	7024
801	28313	6990
802	28346	6954
803	28392	6921
804	28445	6890
805	28495	6858
806	28538	6825
807	28579	6791
808	28614	6755
809	28648	6719
810	28688	6685
811	28723	6650
812	28758	6614
813	28794	6579
814	28833	6544
